1,你喜歡黏人的貓還是獨立自主的貓？,黏人的貓,獨立自主的貓,2,2,6,Y,N,5,0
2,你喜歡苗條貓還是肉感貓？,苗條貓,肉感貓,3,3,8,N,Y,0,5
3,你比較喜歡什麼年紀的貓？,精力旺盛的幼貓(1歲以下),稍微穩重一點的成貓(一歲以上),4,4,4,Y,N,5,0
4,你願意接受老貓嗎(7歲以上)？,?可以，年齡不是問題,不行，有點小介意,5,5,5,Y,N,10,-10
5,你能不能接受需要特殊醫療照顧的貓？,可以，我有滿滿的愛心、耐心跟$$,不行，我還沒準備好,6,6,9,Y,N,10,-10
6,你喜歡公貓還是母貓？,公貓,母貓,7,7,1,公,母,5,0
7,你有養過貓嗎？,有,沒有,8,8,10,Y,N,0,-10
8,你現在家裡有養貓嗎？,有,沒有,9,10,7,0,0,0,0
9,你家的貓目前幾歲？,小於兩歲,兩歲以上,10,10,5,Y,N,-10,0
10,你喜歡虎斑貓還是三花貓？,虎斑貓,三花貓,11,11,2,虎斑貓,三花貓,2,2
11,你喜歡白底橘貓還是乳牛貓？,白底橘貓,乳牛貓,12,12,2,白底橘貓,乳牛貓,2,2
12,你喜歡黑貓還是金吉拉？,黑貓,金吉拉,13,13,2,黑貓,金吉拉,2,2
13,你喜歡,,,14,14,2,,,2,2
14,你喜歡,,,15,15,2,,,2,2
15,你喜歡,,,0,0,2,,,2,2
